id,prompt
P1001,Everyone Ġlegally Ġresident Ġin
P1001,Everyone Ġlegally Ġresident Ġin
P1001,Everyone Ġlegally Ġresident Ġin
P101,Ġsciences ategory Ġmaths ategory
P103,ú Ġfrench Ġtongue Iterator
P106,")"", Ġfamous Ġconvicted Ġindependent"
P108,Ġmarkets Microsoft ashington Ġbeat
P127,Ġconcedes Ġantitrust UN Ġaccuses
P1303,akespeare Ġacoustic Ġellipt wood
P131,Ġtrio Ġpoets Ġwon Ġfellow
P136,Ġscreenplay Ġsax Independent Ġmodern
P1376,iland Official Ġrelationship Ġbetween
P138,Official itage Ġlistings Ġ-
P140,Ġmosques Ġrepresents Ġtolerant ening
P1412,"Ġvows Ġtranslations Dutch ,"
P159,~~ Ġactivists Ġvisited Ġoccupy
P17,"?"", Ġbilateral Ġathlete Ġrepresenting"
P176,Ġannouncement Ġ______ Company :
P178,Ġcontroller Ġlaptop Includes Ġ1989
P19,Ġairplane -( London Ġto
P190,ĠðŁĻĤ Ġ** London ĠâĹı
P20,hair vier Ġfled Ġmetropolitan
P264,Ġdenomination Apple Liber Ġand
P27,'s Ġcountries Ġveto Ġhurts
P276,Reuters BU Ġtown Ġoutside
P279,"Ġ(), Ġcommonly Ġcalled Ġtherapeutic"
P30,âĸĪâĸĪâĸĪâĸĪ Ġglaciers Asia Ġand
P31,Ġ( largest Ġprince ifiable
P36,schild Ċ AMI Ġof
P361,Enlarge Ġtheory Ġrestores Ġrevamped
P364,Ġgovernment English Ġvs .
P37,holm Ġcomprising French Ġ=>
P39,Ġmayoral Pope achusetts Ġauxiliary
P407,Ġ() Ġsongs English Ġand
P413,Inter brain Ġfullback rum
P449,)| NBC Ġdaytime Ġ|
P463,Ġarchae Ġrated Ġindefinitely Ġby
P47,Ġappeared Ġoffensively Ġcruising Ġneighboring
P495,Ġderby ): US Ġversus
P527,Ġitself Ġincludes bach ised
P530,"Ġ( Iran Ġ36 ),"
P740,Ġpaed Ġflights Boston Ġto
P937,Ġundecided Ġ`` London Ġ=
