id,prompt
P136,quartet الترابية жанр de
P279,est type opprinnelig ##lular
P1376,subway elle capitala statului
P159,organised letra situe downtown
P30,yw 颗 orile locatit
P108,signs turing talks dla
P1001,ou parlement officiel رودخانه
P364,contient книги traduit texte
P463,היה medlem заедно ##جلس
place_of_death,vivien umetnosti crecio em
P47,помегу rejoint administrativement desormais
P527,karbon meliputi ֆրանսերեն appele
P37,բնակվում du основном parler
P495,une футболист glace сборнои
P27,est peer supreme ##ցիայի
P449,cincinnati game serialu stacja
P106,waarmee speelde ecrivain et
P407,certains programmes parle essentiellement
P1303,pianist tient auparavant solo
P1412,سكنية est 溶 parler
P190,esordio peking tbilisi puis
P740,est organised situe downtown
P138,soit objek назвы rijeci
P131,etages autoroute situee gcontae
P178,je computador creado chez
P101,matematik profesor specialiste la
P276,鑲 evenement situee 苷
place_of_birth,theatre est basee ##нин
P39,arcebispo est ##군은 actuel
P31,##ныи estatubatuar ##ois frantziako
P20,хана architecte particulier de
P413,geneva carriere spiller macedonian
P103,etait старшии homme lettres
P140,##ϕ донишномаи utama umat
P530,rencontre matchs австралия ##новения
P176,modelu је kuce kompanija
P127,etait hardware officiel representant
P19,נולד et professeur אוניברסיטת
P17,steelers oynadı joue сборнои
P36,ont штат territoire hoofdstad
P937,പരസകാരം compositeur meurt a
P264,била discografica prodotta suprema
P361,هو une branche изменения
