id,prompt
P136,artillery decommissioned port uss
P279,mayfair vimes consulate in
P159,eggs scrambled phosphorus ↔
P30,mount lisbon deploy mount
P108,filmed hindi statewide in
P1001,visa ᵇ ambassador visited
P364,award polk slogan golden
P463,refugee ghana drowned downtown
P47,buddhist ministries practices shia
P527,photographed superhuman protesters occupy
P37,ford aston bloomberg benz
P495,sitcom passions daly eyed
P27,assassinated boyfriend cypriot aspiring
P449,bwf championships havilland represented
P106,##ologist liechtenstein naturalized in
P407,japanese ##athlon } medieval
P1303,hired richard iata of
P1412,galerie ludwig dutton in
P190,lacrosse cricketer 2a defensive
P740,poland disney foundation algeria
P138,penguins inhabit continents except
P131,compute formats aix sued
P178,fluent russians burkina spoke
P101,europe fulbright galerie in
P276,funded invention bosnia ##osomal
P39,biennale bremen nixon biennale
P31,mp eireann ambassador to
P20,ludwig goethe investigated advanced
P413,meets brazil attache in
P103,cbe packard ono founded
P140,##sh cherokee lives in
P530,storm hk bret affects
P176,helsinki speaks passport ##ually
P127,concert photograph johann played
P19,pontifical cathedral elected hernandez
P17,commune ½ famous haiti
P36,music modern noir modern
P937,fluent fredrik arabic and
P264,telenovela indira translated into
P361,slaves cypriot norway spoke
