id,prompt
P136,adventures היא komponisten innenfor
P279,ydy saesneg 乾 based
P1376,is لعب caipital of
P159,organised 设 in downtown
P30,antarktis ydy ranking wwf
P108,evolutionary статистику принадлежит شركة
P1001,represents ecclesiastical administration daleithiau
P364,movies typically language predominantly
P463,definit tomto marupokan clenem
place_of_death,mainly emigrated acores downtown
P47,австро district second setelah
P527,means karbon instead includes
P37,oy свято mainly speaks
P495,реж label distributed in
P27,သည skating compitio from
P449,yhdysvaltalainen televisieserie uitgezonden किलोमीटरहन
P106,##nescu ##odzenia cunoscut british
P407,##ітэт combining anglice and
P1303,riemann plays tenor electric
P1412,translated many شاعر in
P190,२०१५ turkey ambassade at
P740,commenced jazz studios ##stisk
P138,literally ارمنی lansi of
P131,adolah suburban gard провинции
P178,была ##формы compatible компании
P101,profeta pregled monograph applied
P276,is fowk headquartered 焊
place_of_birth,באתר business town of
P39,became senior avignon ##ian
P31,abinon lancashire муніципалітеті oriented
P20,was здание square in
P413,бахархоин landa currently offensive
P103,మండల ##eau language باللغة
P140,ni fowk musulmans practiced
P530,shares representative citizenship with
P176,slouzi серии ##tkem компании
P127,ειναι industrial flagship of
P19,later sponsors cathedral in
P17,were 00238 municipalities ##어져
P36,parlament are centered ##шек
P937,ensemble ##قراطية terletak antarabangsa
P264,singers использовались prodotta etichetta
P361,ialah কারণ branch of
