id,prompt
P1001,ambassador nhl fulbright to
P101,studying philology einstein studying
P103,netherlands russia cote speaks
P106,richard ebert an canadian
P108,fled ##opus everybody technologies
P127,assassinated clinton proceeds visited
P1303,synthetic trombone brahms electric
P131,bomb flown cleveland bordering
P136,dark operas classic acid
P1376,##cion fled mar toward
P138,uss josef drowned uss
P140,babylonian caliphate romania practiced
P1412,##ari ##evic uses fluent
P159,revisited galerie mcc of
P17,##hman ##deh ambassador to
P176,replaced tesla industries replaced
P178,programmer dell overtook rival
P19,llc wynn galerie in
P190,delegation relay travelled to
P20,ltd fulbright galerie in
P264,diversified beatles sued operation
P27,lithuanian ambassador qc to
P276,armenia britain galerie biennale
P279,bean invented ##terol cretaceous
P30,kickoff antarctic exploration throughout
P31,honours albums titular greenwich
P36,county favored berlin replaced
P361,references himalayas thoughts references
P364,fluent malayalam icelandic and
P37,##jk ##hoe ##inen speaks
P39,elected levine papal deputy
P407,spoke serbs fluent broken
P413,ministries ##vah nhl attacking
P449,tackles aired on primetime
P463,gdp moroccan attendance contacted
P47,helicopters supported lansing visited
P495,attends exile visa in
P527,wheat bacon helium replaces
P530,ua ##for ambassador to
P740,##play headlined live in
P937,recital eduardo carnegie in
