id,prompt
P136,waltz classical classic noir
P279,is tail ##chan ##ified
P1376,county ##bbled parliament represents
P159,had partnership headquarters in
P30,= incorporates continent :
P108,covered mathematician management for
P1001,regulates solicitor parties in
P364,italics mala translated in
P463,sleeves universal recognition @
P47,zur geographically metropolitan alongside
P527,originally equals ant ##tituted
P37,academie means helsinki in
P495,gables platinum chart in
P27,€ import association of
P449,aired live syndication on
P106,nicknamed posthumously musician turned
P407,ø fluent footballer speaking
P1303,ska trombone brahms electric
P1412,speaks skier ##ulously old
P190,marched greece haunt downtown
P740,curated traced studios in
P138,twinned nickname simply of
P131,decommissioned voters situated throughout
P178,product revenues capcom outnumbered
P101,vfl ##erina practiced theoretical
P276,smashwords rfc headquartered in
P39,retiring eventual politically consecrated
P31,boo eponymous commercially ruined
P20,hospitalized gallery observatory in
P413,##eira nhl hitter attacking
P103,unicode ##isse ##aks speaks
P140,distribution converting mongols practicing
P530,denied ##riated sovereignty to
P176,overhaul abe reliance naomi
P127,oder redesign sponsor represents
P19,reviewer tire gallery in
P17,terminates handball olympic representing
P36,route ##¥ near downtown
P937,forewings portrait institute in
P264,diversified mccartney sued operation
P361,##將 refers ⊂ modern
