id,prompt
P136,utc classics strictly tinged
P279,refers aimed ##bil ##ated
P1376,##₃ largest town of
P159,ⁱ collectively headquarters in
P30,##leton island germany continent
P108,ancestor telecommunications turing founded
P1001,ceremonial official flags represents
P364,vittorio theatres language predominantly
P463,commerce chartered uefa chartered
place_of_death,guineas masonic apartments in
P47,shares metropolitan borders beside
P527,nano perhaps replacing ##minated
P37,region ##kken ##ually speaks
P495,feat band eventually naturalized
P27,metacritic olympic citizen representing
P449,wnba starring abc and
P106,operatic author ##edance american
P407,verbs ##page speaks ordinary
P1303,ェ gogh saxophonist plays
P1412,notre translator speaking mainly
P190,algorithm international janeiro versus
P740,roller skate gallery in
P138,origin literally burgess of
P131,##ror southernmost district of
P178,developers appealed cisco versus
P101,online ##deh aka computational
P276,ᵒ sf based in
place_of_birth,interfered newspaper ##cier from
P39,libretto apostolic became appointed
P31,is ##actic small eponymous
P20,organizational marble gallery in
P413,kilometre rookie adept opposing
P103,conceded writes in fluent
P140,offering adherents practiced ##ising
P530,electors bilateral ##ically visited
P176,sponsorship an offering from
P127,scandals design staff represent
P19,schemes insurrection bomb ##ated
P17,nawab futsal internationally representing
P36,ornamental metropolitan ambulance reached
P937,evolutionary − universite publishers
P264,detroit bmg johannesburg michigan
P361,collided eventually termed modern
